Cr,Si,Mn,C,Ni,Mo,Nb,W,V,P,Cu,Temperature,Pressure,ExposureTime,OxygenConcentration,weightgain
11.7,0.6,1.8,0,0,0,0,0,0,0,0,500,25,100,8000,179.8
11.7,0.6,1.8,0,0,0,0,0,0,0,0,500,25,250,8000,391.4
11.7,0.6,1.8,0,0,0,0,0,0,0,0,500,25,500,8000,489.7
11.7,0.6,1.8,0,0,0,0,0,0,0,0,500,25,1000,8000,636.1
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,600,25,200,8000,622.3
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,600,25,400,8000,838
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,600,25,600,8000,983
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,600,25,800,8000,1074.9
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,600,25,1000,8000,1184.5
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,650,25,200,8000,1205.8
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,650,25,400,8000,1474.5
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,650,25,600,8000,1584
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,650,25,800,8000,1729.1
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,650,25,1000,8000,1874.1
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,700,25,200,8000,1294.1
8.63,0.38,0.42,0.1,0.15,0.0013,0.053,1.59,0.164,0.014,0,700,25,400,8000,1792.7
9.03,0.22,0.41,0.099,0,0,0,2.02,0.1,0.005,0,550,25,200,200,302.293
9.03,0.22,0.41,0.099,0,0,0,2.02,0.1,0.005,0,550,25,400,200,398.866
9.03,0.22,0.41,0.099,0,0,0,2.02,0.1,0.005,0,550,25,600,200,461.764
9.03,0.22,0.41,0.099,0,0,0,2.02,0.1,0.005,0,550,25,800,200,520.904
9.03,0.22,0.41,0.099,0,0,0,2.02,0.1,0.005,0,550,25,1000,200,598.76
12,0.17,1,0.1,1,1,0,1.1,0.15,0.005,0,550,25,200,200,238.658
12,0.17,1,0.1,1,1,0,1.1,0.15,0.005,0,550,25,400,200,312.787
12,0.17,1,0.1,1,1,0,1.1,0.15,0.005,0,550,25,600,200,353.195
12,0.17,1,0.1,1,1,0,1.1,0.15,0.005,0,550,25,800,200,401.121
12,0.17,1,0.1,1,1,0,1.1,0.15,0.005,0,550,25,1000,200,460.261
8.93,0.25,0.45,0.092,0.23,0.82,0,0,0.21,0.012,0.18,600,25,100,10,322
8.93,0.25,0.45,0.092,0.23,0.82,0,0,0.21,0.012,0.18,600,25,300,10,539
8.93,0.25,0.45,0.092,0.23,0.82,0,0,0.21,0.012,0.18,600,25,600,10,695
8.93,0.25,0.45,0.092,0.23,0.82,0,0,0.21,0.012,0.18,600,25,1000,10,836
8.93,0.25,0.45,0.092,0.23,0.82,0,0,0.21,0.012,0.18,600,25,1500,10,993
8.82,0.102,0.45,0.109,0.174,0.468,0.064,1.87,0.194,0,0,600,25,1000,25,1380.384265
10.83,0.27,0.64,0.11,0.39,0.3,0.054,1.89,0.19,0.009,1.02,650,20.7,500,2000,1380.01
9.5,0.5,0.5,0.13,0.4,0.6,0.06,2,0.25,0.02,0.25,650,31,100,10,869.7
